Ticker,Date,Type,Shares,Price
AMZN,2025-03-24,Buy,4.933,202.7
ASML,2025-03-31,Buy,1.534,656.17
TTD,2025-04-07,Buy,21,46.99
RGTI,2025-04-07,Buy,11.96,8.37
TTD,2025-04-14,Buy,20.218,49.96
KD,2025-04-21,Buy,35.152,28.43
APP,2025-04-28,Buy,3.586,278.88
NVDA,2025-05-06,Buy,8.899,112.789
APP,2025-05-12,Buy,2.857,353.467
CPNG,2025-05-19,Buy,36.925,27.1646
GRAB,2025-05-27,Buy,200,4.995
MA,2025-06-02,Buy,1.744,578.4
TTAN,2025-06-02,Buy,0.88,113.86
GRAB,2025-06-09,Buy,200.816,4.999
CPNG,2025-06-17,Buy,35.25,28.395
TMC,2025-06-17,Buy,18.08,5.535
AAPL,2022-08-11,Dividend,,
AAPL,2022-11-10,Dividend,,
AAPL,2023-02-16,Dividend,,
AAPL,2023-05-18,Dividend,,
MSFT,2023-06-18,Dividend,,
TSM,2023-07-13,Dividend,,
AXP,2023-08-10,Dividend,,
AAPL,2023-08-17,Dividend,,
AMSL,2023-08-09,Dividend,,
MSFT,2023-09-14,Dividend,,
TSM,2023-10-12,Dividend,,
MA,2023-11-09,Dividend,,
AXP,2023-11-10,Dividend,,
ASML,2023-11-10,Dividend,,
AAPL,2023-11-16,Dividend,,
V,2023-12-01,Dividend,,
MSFT,2023-12-14,Dividend,,
TSM,2024-01-11,Dividend,,
MA,2024-02-09,Dividend,,
AXP,2024-02-09,Dividend,,
AAPL,2024-02-15,Dividend,,
V,2024-03-01,Dividend,,
ASML,2024-02-14,Dividend,,
AAPL,2024-02-15,Dividend,,
V,2024-03-01,Dividend,,
MSFT,2024-03-14,Dividend,,
NVDA,2024-03-27,Dividend,,
TSM,2024-04-11,Dividend,,
TSM,2024-04-11,Dividend,,
MSFT,2024-03-14,Dividend,,
ASML,2024-05-07,Dividend,,
ASML,2024-05-07,Dividend,,
MA,2024-05-09,Dividend,,
AXP,2024-05-10,Dividend,,
APPL,2024-05-16,Dividend,,
V,2024-05-16,Dividend,,
V,2024-06-03,Dividend,,
V,2024-06-03,Dividend,,
MSFT,2024-06-13,Dividend,,
MSFT,2024-06-13,Dividend,,
MSFT,2024-06-13,Dividend,,
AVGO,2024-06-28,Dividend,,
NVDA,2024-06-28,Dividend,,
NVDA,2024-06-28,Dividend,,
NVDA,2024-06-28,Dividend,,
TSM,2024-07-11,Dividend,,
TSM,2024-07-15,Dividend,,
ASML,2024-08-07,Dividend,,
ASML,2024-08-09,Dividend,,
MA,2024-08-09,Dividend,,
MA,2024-08-09,Dividend,,
AXP,2024-08-09,Dividend,,
AAPL,2024-08-15,Dividend,,
V,2024-09-03,Dividend,,
MSFT,2024-09-12,Dividend,,
NVDA,2024-10-03,Dividend,,
TSM,2024-10-09,Dividend,,
TSM,2024-10-11,Dividend,,
FDRXX,2024-10-31,Dividend,,
MA,2024-11-08,Dividend,,
ASML,2024-11-07,Dividend,,
AXP,2024-11-08,Dividend,,
MA,2024-11-10,Dividend,,
AAPL,2024-11-14,Dividend,,
AAPL,2024-11-14,Dividend,,
V,2024-12-02,Dividend,,
V,2024-12-02,Dividend,,
WING,2024-12-06,Dividend,,
MSFT,2024-12-12,Dividend,,
MSFT,2024-12-12,Dividend,,
KNSL,2024-12-13,Dividend,,
NVDA,2024-12-27,Dividend,,
NVDA,2024-12-27,Dividend,,
AVGO,2024-12-31,Dividend,,
LRCX,2025-01-08,Dividend,,
TSM,2025-01-09,Dividend,,
TSM,2025-01-09,Dividend,,
EME,2025-01-31,Dividend,,
MA,2025-02-07,Dividend,,
MA,2025-02-07,Dividend,,
AXP,2025-02-10,Dividend,,
APPL,2025-02-13,Dividend,,
APPL,2025-02-13,Dividend,,
ASML,2025-02-19,Dividend,,
ASML,2025-02-19,Dividend,,
HWM,2025-02-25,Dividend,,
V,2025-03-03,Dividend,,
V,2025-03-03,Dividend,,
